"current_game_id","team","opponent","game_pk","game_date","recency_label","role","player_id","player_name","stat_line","performance_score","report_date","source_through","generated_at_utc"
"824461","Chicago Cubs","Cincinnati Reds","824463","2026-09-18","Yesterday","Hitter","608348","Carson Kelly","2 H, 0 HR, 0 2B, 1 RBI",5,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Chicago Cubs","Cincinnati Reds","824463","2026-09-18","Yesterday","Pitcher","605280","Clay Holmes","5.1 IP, 4 K",9.33333333333333,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Chicago Cubs","Cincinnati Reds","824463","2026-09-18","Yesterday","Pitcher","657097","Jacob Webb","1.0 IP, 2 K",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Cincinnati Reds","Chicago Cubs","824463","2026-09-18","Yesterday","Hitter","682829","Elly De La Cruz","2 H, 0 HR, 0 2B, 0 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Cincinnati Reds","Chicago Cubs","824463","2026-09-18","Yesterday","Hitter","624431","Jose Trevino","1 H, 0 HR, 0 2B, 2 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Cincinnati Reds","Chicago Cubs","824463","2026-09-18","Yesterday","Hitter","553993","Eugenio Suárez","1 H, 0 HR, 0 2B, 1 RBI",3,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Cincinnati Reds","Chicago Cubs","824463","2026-09-18","Yesterday","Pitcher","695505","Chase Burns","3.0 IP, 4 K",7,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"824461","Cincinnati Reds","Chicago Cubs","824463","2026-09-18","Yesterday","Pitcher","687924","Julian Aguiar","3.0 IP, 2 K",5,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Kansas City Royals","Pittsburgh Pirates","823331","2026-09-18","Yesterday","Hitter","686469","Vinnie Pasquantino","2 H, 1 HR, 0 2B, 2 RBI",9,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Kansas City Royals","Pittsburgh Pirates","823331","2026-09-18","Yesterday","Hitter","686681","Michael Massey","1 H, 1 HR, 0 2B, 1 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Kansas City Royals","Pittsburgh Pirates","823331","2026-09-18","Yesterday","Hitter","672580","Maikel Garcia","1 H, 0 HR, 1 2B, 2 RBI",4,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Kansas City Royals","Pittsburgh Pirates","823331","2026-09-18","Yesterday","Pitcher","677976","Randy Dobnak","3.2 IP, 1 K",4.66666666666667,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Kansas City Royals","Pittsburgh Pirates","823331","2026-09-18","Yesterday","Pitcher","671162","Connor Thomas","1.1 IP, 2 K",3.33333333333333,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Pittsburgh Pirates","Kansas City Royals","823331","2026-09-18","Yesterday","Hitter","804606","Konnor Griffin","4 H, 0 HR, 0 2B, 2 RBI",10,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Pittsburgh Pirates","Kansas City Royals","823331","2026-09-18","Yesterday","Hitter","664040","Brandon Lowe","1 H, 1 HR, 0 2B, 2 RBI",7,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Pittsburgh Pirates","Kansas City Royals","823331","2026-09-18","Yesterday","Hitter","665833","Oneil Cruz","3 H, 0 HR, 1 2B, 0 RBI",6,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
"823330","Pittsburgh Pirates","Kansas City Royals","823331","2026-09-18","Yesterday","Pitcher","694973","Paul Skenes","6.0 IP, 7 K",13,"2026-09-19","2026-09-18","2026-09-19 13:56:43 UTC"
