"playerID","yearID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","BB","HBP","SF","PA","AVG","OBP","TB","SLG","OPS","avg_percentile","obp_percentile","slg_percentile","ops_percentile","h_percentile","hr_percentile","rbi_percentile","r_percentile","sb_percentile","decade"
"guerrvl01",2004,"AL",156,612,124,206,39,2,39,126,15,52,8,8,680,0.336601307189543,0.391176470588235,366,0.598039215686274,0.98921568627451,0.985365853658537,0.951219512195122,0.990243902439024,0.985365853658537,0.990243902439024,0.985365853658537,0.985365853658537,1,0.880487804878049,2000
"hamiljo03",2010,"AL",133,518,95,186,40,3,32,100,8,43,5,4,570,0.359073359073359,0.410526315789474,328,0.633204633204633,1.04373094899411,1,0.981132075471698,1,0.995283018867924,0.974056603773585,0.97877358490566,0.94811320754717,0.94811320754717,0.747641509433962,2010
"harpebr03",2015,"NL",153,521,118,172,38,1,42,99,6,124,5,4,654,0.330134357005758,0.460244648318043,338,0.648752399232246,1.10899704755029,0.991031390134529,1,1,1,0.964125560538117,0.997757847533632,0.979820627802691,1,0.739910313901345,2010
"harpebr03",2021,"NL",141,488,101,151,42,1,35,84,13,100,5,4,597,0.309426229508197,0.428810720268007,300,0.614754098360656,1.04356481862866,0.982378854625551,0.995594713656388,1,1,0.947136563876652,0.977973568281938,0.898678414096916,0.977973568281938,0.918502202643172,2020
"hartnga01",1935,"NL",116,413,67,142,32,6,13,91,1,41,1,0,455,0.343825665859564,0.404395604395604,225,0.544794188861985,0.94918979325759,0.970873786407767,0.961165048543689,0.951456310679612,0.961165048543689,0.757281553398058,0.883495145631068,0.922330097087379,0.689320388349515,0.300970873786408,1930
"henderi01",1990,"AL",136,489,119,159,33,3,28,61,65,97,4,2,592,0.325153374233129,0.439189189189189,282,0.576687116564417,1.01587630575361,0.976415094339623,0.995283018867924,0.995283018867924,1,0.893867924528302,0.974056603773585,0.787735849056604,1,1,1990
"hernake01",1979,"NL",161,610,116,210,48,11,11,105,11,80,1,7,698,0.344262295081967,0.416905444126074,313,0.513114754098361,0.930020198224435,1,0.98780487804878,0.939024390243902,0.975609756097561,0.99390243902439,0.731707317073171,0.975609756097561,1,0.734756097560976,1970
"hornsro01",1925,"NL",138,504,133,203,41,10,39,143,5,83,2,0,589,0.402777777777778,0.488964346349745,381,0.755952380952381,1.24491672730213,1,1,1,1,0.973913043478261,1,1,0.991304347826087,0.630434782608696,1920
"hornsro01",1929,"NL",156,602,156,229,47,8,39,149,2,87,1,0,690,0.380398671096346,0.459420289855072,409,0.679401993355482,1.13882228321055,0.97979797979798,0.98989898989899,1,1,0.97979797979798,0.974747474747475,0.97979797979798,1,0.262626262626263,1920
"howarel01",1963,"AL",135,487,75,140,21,6,28,85,0,35,6,2,530,0.287474332648871,0.341509433962264,257,0.527720739219713,0.869230173181977,0.902985074626866,0.761194029850746,0.962686567164179,0.940298507462687,0.779850746268657,0.970149253731343,0.947761194029851,0.858208955223881,0.123134328358209,1960
"howarry01",2006,"NL",159,581,104,182,25,1,58,149,0,108,9,6,704,0.313253012048193,0.424715909090909,383,0.6592082616179,1.08392417070881,0.927350427350427,0.974358974358974,0.995726495726496,0.995726495726496,0.957264957264957,1,1,0.944444444444444,0.128205128205128,2000
"hubbeca01",1933,"NL",45,109,6,20,2,1,1,12,0,2,0,0,111,0.18348623853211,0.198198198198198,27,0.247706422018349,0.445904620216547,0.0196078431372549,0.00980392156862745,0.0686274509803922,0.0196078431372549,0.0294117647058824,0.382352941176471,0.117647058823529,0.00490196078431373,0.0833333333333333,1930
"hubbeca01",1936,"NL",42,110,9,25,1,0,0,8,0,3,0,0,113,0.227272727272727,0.247787610619469,26,0.236363636363636,0.484151246983105,0.0776699029126214,0.029126213592233,0.0388349514563107,0.0194174757281553,0.029126213592233,0.0631067961165049,0.00485436893203883,0.029126213592233,0.12621359223301,1930
