"player_id","player_name","team_id","team_name","position_abbreviation","position_type","roster_status","roster_type","is_active","is_pitcher","roster_pitcher_role","roster_verified_at","roster_method"
"668942","Josh Rojas","118","Kansas City Royals","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"664728","Kyle Isbel","118","Kansas City Royals","CF","Outfielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"668674","Lucas Erceg","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"571912","Luke Maile","118","Kansas City Royals","C","Catcher","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"672580","Maikel Garcia","118","Kansas City Royals","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686681","Michael Massey","118","Kansas City Royals","2B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"608379","Michael Wacha","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"663878","Nate Pearson","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"679845","Nick Loftin","118","Kansas City Royals","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"702070","Noah Cameron","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"676510","Nolan Hoffman","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"677976","Randy Dobnak","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"521692","Salvador Perez","118","Kansas City Royals","DH","Hitter","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"607625","Seth Lugo","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"674444","Steven Cruz","118","Kansas City Royals","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686475","Tyler Tolbert","118","Kansas City Royals","SS","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686469","Vinnie Pasquantino","118","Kansas City Royals","1B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"605400","Aaron Nola","143","Philadelphia Phillies","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"664761","Alec Bohm","143","Philadelphia Phillies","3B","Infielder","Active","active",TRUE,FALSE,"position_player",2026-09-17,"baseballr_mlb_rosters_active_v1"
"686934","Alex McFarlane","143","Philadelphia Phillies","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
"691725","Andrew Painter","143","Philadelphia Phillies","P","Pitcher","Active","active",TRUE,TRUE,"pitcher_unspecified",2026-09-17,"baseballr_mlb_rosters_active_v1"
