"game_id","team_side","batting_order","batter_id","batter_name","batter_team","pitcher_team","p_BB","p_HBP","p_K","p_1B","p_2B","p_3B","p_HR","p_OUT","bullpen_pitcher_count","bullpen_mean_availability","selected_relief_pitchers","bullpen_input_status"
"823412","away",2,"694192","Jackson Chourio","Milwaukee Brewers","Philadelphia Phillies",0.0641115549037159,0.00502385012109686,0.274382680138452,0.173664376857788,0.0469950438570504,0.000706401635664798,0.0420839144661283,0.393032178020104,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",3,"668930","Brice Turang","Milwaukee Brewers","Philadelphia Phillies",0.107523589902558,0.00266866824312424,0.274130152372608,0.148982511453892,0.0392325783538912,0.00538003497219918,0.0228185306389807,0.399263934062747,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",4,"661388","William Contreras","Milwaukee Brewers","Philadelphia Phillies",0.0756214843512722,0.00810584889478119,0.18756743087153,0.176821179437211,0.0425472430880885,0.00270883859909425,0.0284751398036653,0.478152834954358,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",5,"641343","Jake Bauers","Milwaukee Brewers","Philadelphia Phillies",0.130598017888226,0.00729010243643132,0.286448388422062,0.136388766462649,0.0349660556575883,0.00519322587217464,0.0408857109466457,0.358229732314223,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",6,"592885","Christian Yelich","Milwaukee Brewers","Philadelphia Phillies",0.0730288154024465,0.00767920851614292,0.296229782816236,0.13977738397394,0.0362031834566795,0.00824178746925219,0.0199410670515677,0.418898771313735,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",7,"800325","Luis Lara","Milwaukee Brewers","Philadelphia Phillies",0.0668783273588648,0.00823225420886645,0.261247380361962,0.163709768195949,0.0374224532018953,0.0142814468648827,0.012764989977256,0.435463379830323,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",8,"806198","Cooper Pratt","Milwaukee Brewers","Philadelphia Phillies",0.0756512588367314,0.0102059789416445,0.229527752185958,0.187855728429713,0.0234750684730378,0.0129423829778628,0.0174031454566007,0.442938684698451,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","away",9,"666152","David Hamilton","Milwaukee Brewers","Philadelphia Phillies",0.0692833910603353,0.00478680483540752,0.252371461272789,0.166404112546342,0.0267688392030344,0.0060578366146089,0.0137855156766748,0.460542038790808,6,0.924148972025615,"Jhoan Duran | Max Lazar | Jonathan Bowlan | Brooks Raley | Tim Mayza | Tanner Banks","availability_weighted_active_relievers"
"823412","home",1,"656941","Kyle Schwarber","Philadelphia Phillies","Milwaukee Brewers",0.127365164335339,0.00775304292908557,0.357237927799234,0.108070996685506,0.0214201511974826,0.00104636199902611,0.047724165462616,0.32938218959171,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",2,"607208","Trea Turner","Philadelphia Phillies","Milwaukee Brewers",0.07702125164623,0.00457150930748692,0.239100419452932,0.151615258487067,0.0310914656948162,0.00152690739052106,0.0170438061503614,0.478029381870585,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",3,"547180","Bryce Harper","Philadelphia Phillies","Milwaukee Brewers",0.1279809178961,0.00159474397564265,0.254214698861869,0.141899853091398,0.0374773543624207,0.00334799869850217,0.0313559782304461,0.402128454883621,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",4,"650333","Luis Arraez","Philadelphia Phillies","Milwaukee Brewers",0.0473816593618148,0.00624085976663841,0.0656732127424142,0.227278395377593,0.0401581763305688,0.00760027475604306,0.0079489358885815,0.597718485776346,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",5,"664761","Alec Bohm","Philadelphia Phillies","Milwaukee Brewers",0.0781823475971819,0.0108996714360927,0.161532139126503,0.158166562777754,0.0340312819881605,0.00161974226703924,0.0170956869855372,0.538472567821731,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",6,"681082","Bryson Stott","Philadelphia Phillies","Milwaukee Brewers",0.0875686183817054,0.00417005968876637,0.197909201211045,0.152378041366406,0.0399867424417809,0.00715227795956956,0.013382242630712,0.497452816320015,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",7,"592663","J.T. Realmuto","Philadelphia Phillies","Milwaukee Brewers",0.0818637276378451,0.0156309259059043,0.247476184797245,0.125743379322757,0.0299534938723305,0.000260688170593901,0.0152954300041016,0.483776170289222,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",8,"669016","Brandon Marsh","Philadelphia Phillies","Milwaukee Brewers",0.0469070925005697,0.00389452897575845,0.289490692981954,0.176716634091567,0.0260200041241201,0.00272451328703685,0.0217765538808079,0.432469980158185,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
"823412","home",9,"702222","Justin Crawford","Philadelphia Phillies","Milwaukee Brewers",0.0567064180270718,0.00676755770131288,0.202628596900179,0.190640846828406,0.031988800133997,0.00732384404476665,0.00765444134352962,0.496289495020737,6,0.678491515818249,"Aaron Ashby | Abner Uribe | Trevor Megill | Antonio Senzatela | Chad Patrick | JoJo Romero","availability_weighted_active_relievers"
