"current_game_id","team","opponent","role","player_id","player_name","games","plate_appearances","hits","doubles","triples","home_runs","runs_batted_in","walks","strikeouts","innings_outs","report_date","source_through","generated_at_utc","method"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","677956","Rece Hinds",1,3,0,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","681047","Christian Franklin",1,1,0,0,0,0,0,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","681297","Colton Cowser",1,2,0,0,0,0,0,1,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","687637","Dylan Beavers",1,4,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","691723","Coby Mayo",1,4,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Hitter","694212","Samuel Basallo",1,2,0,0,0,0,0,0,2,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Pitcher","669358","Shane Baz",1,,,,,,,3,2,20,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Pitcher","670329","Rico Garcia",1,,,,,,,0,2,3,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Baltimore Orioles","Toronto Blue Jays","Pitcher","666974","Yennier Cano",1,,,,,,,0,1,4,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","543807","George Springer",1,4,2,0,0,0,1,0,1,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","664770","Nathan Lukes",1,4,1,0,0,0,1,1,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
"824785","Toronto Blue Jays","Baltimore Orioles","Hitter","665926","Andrés Giménez",1,3,1,0,0,0,0,0,0,,"2026-09-22","2026-09-21","2026-09-22 14:36:25 UTC","consecutive_same_opponent_player_totals_v1"
