"pitcher_id","pitcher_name","team","throws","last_appearance","pitches_last_1d","pitches_last_3d","pitches_last_7d","appearances_last_3d","consecutive_days_used","days_rest","pitcher_role","role_confidence","availability_score","availability_status","availability_method","as_of_date","source_through","generated_at_utc","performance_score","performance_reliability","matchup_score","performance_score_used","role_fit_score","selection_score","upcoming_batter_side","leverage_index","selection_method","eligibility_method","selection_rank","matchup_board_method","identity_match_method"
"605154","John Brebbia","Colorado Rockies","R","2026-06-30",0,0,0,0,0,25,"reliever",0.15,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"664954","Brett Sullivan","Colorado Rockies","R","2026-06-30",0,0,0,0,0,25,"reliever",0.25,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"669298","TJ Shook","Colorado Rockies","R","2026-07-09",0,0,0,0,0,16,"reliever",0.2,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"646241","Enmanuel De Jesus","Detroit Tigers","L","2026-06-26",0,0,0,0,0,29,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.501698625792812,0.573,1,0.501698625792812,1,87.5,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"805427","Drew Sommers","Detroit Tigers","L","2026-07-23",0,17,46,2,0,2,"reliever",1,0.905555555555556,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,1,0.5,1,83.7,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"680744","Ty Madden","Detroit Tigers","R","2026-07-21",0,0,75,0,0,4,"reliever",0.3,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.673230570824524,0.492,0.35,0.673230570824524,1,78.8,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"680744","Ty Madden","Detroit Tigers","R","2026-07-21",0,0,75,0,0,4,"reliever",0.3,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.673230570824524,0.492,0.7,0.673230570824524,1,85.8,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
"689225","Beau Brieske","Detroit Tigers","R","2026-07-12",0,0,0,0,0,13,"reliever",0.4,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",2,"availability_role_matchup_performance_v1","exact_mlbam_id"
"668670","Jake Rogers","Detroit Tigers","R","2026-07-21",0,0,23,0,0,4,"reliever",0.15,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.5,0,0.7,0.5,1,81.5,"R",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",3,"availability_role_matchup_performance_v1","exact_mlbam_id"
"687911","Bryan King","Houston Astros","L","2026-07-19",0,0,14,0,0,6,"reliever",1,1,"available","sabrhood_workload_heuristic_v1","2026-07-25","2026-07-25","2026-07-26 00:39:51 UTC",0.382514889006343,0.659,1,0.382514889006343,1,84.6,"L",2,"sabrhood_reliever_selector_v1","recent_appearance_proxy",1,"availability_role_matchup_performance_v1","exact_mlbam_id"
