"batter_id","player_name","team","pitches","swings","whiffs","out_of_zone_pitches","chases","zone_swings","zone_contact","swing_rate","whiff_rate","chase_rate","zone_contact_rate","discipline_score","discipline_method","discipline_rank"
"677950","Alek Thomas","Arizona Diamondbacks",352,202,45,186,79,123,109,0.573863636363636,0.222772277227723,0.424731182795699,0.886178861788618,38.6,"pitch_level_chase_contact_profile_v1",254
"666181","Will Benson","Cincinnati Reds",472,205,64,249,55,150,110,0.434322033898305,0.31219512195122,0.220883534136546,0.733333333333333,38.4,"pitch_level_chase_contact_profile_v1",255
"621020","Dansby Swanson","Chicago Cubs",1059,469,138,571,144,325,259,0.442870632672332,0.294243070362473,0.252189141856392,0.796923076923077,38.2,"pitch_level_chase_contact_profile_v1",256
"656941","Kyle Schwarber","Philadelphia Phillies",1302,571,174,707,179,392,317,0.438556067588326,0.304728546409807,0.253182461103253,0.808673469387755,38.2,"pitch_level_chase_contact_profile_v1",257
"701678","Hao-Yu  Lee","Detroit Tigers",318,153,44,153,42,111,92,0.481132075471698,0.287581699346405,0.274509803921569,0.828828828828829,38.1,"pitch_level_chase_contact_profile_v1",258
"702616","Jackson Holliday","Baltimore Orioles",320,144,44,168,40,104,81,0.45,0.305555555555556,0.238095238095238,0.778846153846154,38,"pitch_level_chase_contact_profile_v1",259
"621438","Tyrone Taylor","New York Mets",376,204,44,190,76,128,112,0.542553191489362,0.215686274509804,0.4,0.875,37.9,"pitch_level_chase_contact_profile_v1",260
"669003","Garrett Mitchell","Milwaukee Brewers",898,389,138,457,99,290,217,0.433184855233853,0.354755784061697,0.216630196936543,0.748275862068966,37.9,"pitch_level_chase_contact_profile_v1",261
"592450","Aaron Judge","New York Yankees",1114,478,144,616,159,319,258,0.429084380610413,0.301255230125523,0.258116883116883,0.808777429467085,37.8,"pitch_level_chase_contact_profile_v1",262
"642715","Willy Adames","San Francisco Giants",1150,553,144,596,190,363,311,0.480869565217391,0.260397830018083,0.318791946308725,0.856749311294766,37.8,"pitch_level_chase_contact_profile_v1",263
"699912","Jose Fernandez","Arizona Diamondbacks",688,325,76,363,134,191,167,0.472383720930233,0.233846153846154,0.369146005509642,0.87434554973822,37.6,"pitch_level_chase_contact_profile_v1",264
"676475","Alec Burleson","St. Louis Cardinals",1067,526,102,555,188,338,283,0.492970946579194,0.193916349809886,0.338738738738739,0.837278106508876,37.5,"pitch_level_chase_contact_profile_v1",265
"605137","Josh Bell","Minnesota Twins",1098,567,131,586,187,379,320,0.516393442622951,0.231040564373898,0.319112627986348,0.844327176781003,37.3,"pitch_level_chase_contact_profile_v1",266
"666971","Lourdes Gurriel Jr.","Arizona Diamondbacks",380,200,49,215,87,113,101,0.526315789473684,0.245,0.404651162790698,0.893805309734513,37.2,"pitch_level_chase_contact_profile_v1",267
"686780","Pedro Pag<U+00E9>s","St. Louis Cardinals",536,271,68,275,104,167,148,0.505597014925373,0.250922509225092,0.378181818181818,0.88622754491018,37.2,"pitch_level_chase_contact_profile_v1",268
"664770","Nathan Lukes","Toronto Blue Jays",528,269,44,273,106,163,138,0.509469696969697,0.163568773234201,0.388278388278388,0.846625766871166,36.9,"pitch_level_chase_contact_profile_v1",269
"641598","Mitch Garver","Seattle Mariners",455,192,62,249,60,132,104,0.421978021978022,0.322916666666667,0.240963855421687,0.787878787878788,36.8,"pitch_level_chase_contact_profile_v1",270
"607208","Trea Turner","Philadelphia Phillies",1171,605,153,621,223,382,335,0.51665243381725,0.252892561983471,0.359098228663446,0.87696335078534,36.5,"pitch_level_chase_contact_profile_v1",271
